Company Name - Active Companies,Location Name,Location Address
MPGR HOSPITALITY,SUSHI MAS - WYNWOOD,"2611 N Miami Ave, Miami, FL 33127, USA"
Ariete Hospitality Group,Ariete,"3540 Main Hwy, Coconut Grove, FL 33133, USA"
Sushi Sake Corporate,Bird Road,"14629 Southwest 42nd Street, Miami, FL, USA"
Julia & Henry’s Hospitality LLC,Julia & Henry’s Hospitality LLC,"200 E Flagler St, Miami, FL 33131, USA"
Fire Pit Hospitality,Maxwell Bros. Clothing Store,"17395 S Dixie Hwy, Miami, FL 33157, USA"
Miami,Delilah Miami,"301 Brickell Key Dr, Miami, FL 33131, USA"
Vegan Cuban Cuisine,Vegan Cuban Cuisine,"9460 SW 72nd St, Miami, FL 33173, USA"
Rice Mediterranean Kitchen,Pinecrest,"12313 S Dixie Hwy, Miami, FL 33156, USA"
Baja Restaurant Group,Tacos El Porky (Downtown Miami),"16 W Flagler St, Miami, FL 33130, USA"
Baby Jane's,Baby Jane's,"500 Brickell Ave #105e, Miami, FL 33131, USA"
Chifa Du Kang,Chifa Du Kang Bird Road,"9899 SW 40th St, Miami, FL 33165, USA"
Black Market,Ben's Pizza Dadeland,"7535 N Kendall Dr, Miami, FL 33156, USA"
(Miami) MCA-Airports,21  MIA-F Maestro de la Pizza,
Pura Vida Miami - FL,PV02 - Edgewater,"1756 North Bayshore Drive, Miami, FL, USA"
El taquito 2,El taquito 2,"1380 Southwest 8th Street, Miami, FL, United States"
Tacos and Tattoos,Tacos and Tattoos,"11790 Southwest 104th Street, Miami, FL, United States"
Oakberry - MiMO,Oakberry - MiMO,"6912 Biscayne Blvd, Miami, FL 33138, USA"
Sushi Sake Corporate,Biscayne,"900 Biscayne Blvd, Miami, FL, USA"
Sushi Sake Corporate,Westchester,"8657 Southwest 87th Avenue, Miami, FL, USA"
Tacombi - FL,Brickell,"69 SW 7th St, Miami, FL 33130, USA"
Sweet Caroline Karaoke Bar,Sweet Caroline Karaoke Bar,"1111 SW 1st Ave, Miami, FL 33130, USA"
Amor Miami,AMOR MIAMI,"2322 N Miami Ave, Miami, FL 33127, USA"
(Miami) MCA-Airports,20  MIA-E Maestro de la Pizza,
Miam Wynwood,Miam Wynwood,"2750 NW 3rd Ave, Miami, FL 33127, USA"
Museum of Ice Cream,Museum of Ice Cream (MIA),"851 NE 1st Ave ste 134, Miami, FL 33132, USA"
Gastronomica Restaurant Group,Old's Havana,"1442 Southwest 8th Street, Miami, FL, USA"
Electric Lady,Electric Lady,"144 NW 23rd St, Miami, FL 33127, USA"
Jon and Vinny's Miami,Jon and Vinny's Miami,"1100 NW 23rd St, Miami, FL 33127, USA"
MIKA,Mika,"Miami, FL 33134, USA"
Poke + Go,Poke + Go,"Miami, FL, USA"
Black Market,Ben's Pizza 2,"401 Biscayne Blvd, Miami, FL 33132, USA"
SKINNY LOUIE,MIAMI HEAT ARENA,"601 Biscayne Blvd, Miami, FL 33132, EE. UU."
Sushi Maki,Sushi Maki Dadeland,"6661 South Dixie Highway, Miami, FL, USA"
Mia Bella,Mia Bella,"1220 N Main St, Miami, OK 74354, USA"
(Miami) MCA-Airports,Sam E,"4200 Northwest 21st Street, Miami, FL, USA"
La Ferneteria,La Ferneteria,"230 NW 24th St, Miami, FL 33127, USA"
Pura Vida Miami - FL,PV18 - Brickell 701,"701 Brickell Ave, Miami, FL 33131, USA"
Sushi Sake Corporate,Ludlam,"7004 Bird Rd, Miami, FL 33155, USA"
Tacombi - FL,Design District,"3930 NE 2nd Ave suite 100, Miami, FL 33137, USA"
Groot Hospitality - Gekko,Gekko,"Miami, FL, USA"
"Estefan Enterprises, Inc.",Estefan Kitchen Express – Miami International Airport,"1961 Miad Cir, Miami, FL 33126, USA"
Purple Orchid,PO Downtown,"Miami, Florida, EE. UU."
Apocalypse BBQ,Lala's Lincoln,"7360 SW 41st St, Miami, FL 33155, USA"
Fire Pit Hospitality,Lincoln's Beard Brewing Company,"7360 SW 41st St, Miami, FL 33155, USA"
Talkin Tacos,Talkin Tacos Wynwood,"172 NW 24th St, Miami, FL 33127, USA"
Kiki Miami,Habibi,"452 NW N River Dr, Miami, FL 33128, USA"
The River Oyster Bar,The River Oyster Bar,"33 SE 7th St, Miami, FL 33131, USA"
Purple Orchid,Production,"11720 NE 2nd Ave, Miami, FL 33161, USA"
The Wagyu Bar by Meat N' Bone,The Wagyu Bar by Meat N' Bone,"Miami, FL, USA"
Pamela Wasabi Bakery,Pamela Wasabi Bakery,"1602 NW 20th St, Miami, FL 33142, USA"
Sushi Sake Corporate,Hammocks,"14649 Southwest 104th Street, Miami, FL, USA"
Black Market,Black Market Bayside,"401 Biscayne Blvd Unit 225-N, Miami, FL 33132, USA"
V&E - Marabu Brickell,Marabu - Brickell,"701 S Miami Ave, Miami, FL 33130, USA"
Osom Crepes LLC,Osom Crepes Miami,"140 NE 39th St, Miami, FL 33137, USA"
Mamma Dora’s Pizzeria,Mamma Dora’s Pizzeria,"8016 Southwest 81st Drive, Miami, FL, United States"
Doya,Doya,"347 NW 24th St, Miami, FL 33127, USA"
Sushi Sake Corporate,Little Havana,"1615 Southwest 8th Street, Miami, FL, USA"
,Bong Bros 12 Smoke Shop,"44 NW 167th St, Miami, FL 33169, USA"
Black Market,Ben's Pizza 1,"401 Biscayne Blvd, Miami, FL 33132, USA"
Bondi Sushi,Brickell,"1062 Brickell Ave, Miami, FL 33131, USA"
Apocalypse BBQ,Apocalypse BBQ,"9980 SW 104th St, Miami, FL 33176, USA"
Peel Soft Serve Central Fare,Peel Soft Serve Central Fare,"550 NW 1st Ave ste 230 a3, Miami, FL 33136, USA"
Le Specialita Cafe & Market,Le Specialita Cafe & Market,"2653 S Bayshore Dr, Miami, FL 33133, USA"
Tinez Farms,Tinez Farms,"16405 SW 177th Ave, Miami, FL 33187, USA"
Sushi Maki,Sushi Maki Coconut Grove,"2550 S Bayshore Dr, Coconut Grove, FL 33133, USA"
Salt & Straw - FL,Wynwood,"246 Northwest 25th Street, Miami, FL, USA"
Astra,Astra,"2121 NW 2nd Ave, Miami, FL 33127, USA"
Black Market,Black Market Downtown,"168 SE 1st St, Miami, FL 33131, USA"
Pivot Culinary Management,MIAMI,"501 Marlins Way, Miami, FL 33125, USA"
Fire Pit Hospitality,The Thorn,"6976 SW 40th St, Miami, FL 33155, USA"
Sports Grill,Sports Grill Palmetto Golf Course,"9300 SW 152nd St, Miami, FL 33157, USA"
Bondi Sushi,Miami Midtown,"3401 NE 1st Ave, Miami, FL 33137, USA"
Chifa Du Kang,Chifa Du Kang Kendall,"11768 SW 88th St, Miami, FL 33186, USA"
Marin Hospitality,Sushi Sake Sunset,"9565 SW 72nd St, Miami, FL 33173, United States"
Sushi Sake Corporate,Killian,"10834 Southwest 104th Street, Miami, FL, USA"
Groot Hospitality - Komodo Miami,Groot Hospitality - Komodo,"801 Brickell Ave, Miami, FL 33131, USA"
Love Life Cafe,Love Life Cafe Wynwood,"2616 NW 5th Ave, Miami, FL 33127, USA"
MOAN Sandwiches,MOAN Sandwiches,"311 Northwest 23rd Street - Inside SHOTS, Miami, FL, USA"
Empire Social Lounge,Empire Social Lounge - Brickell,"1106 S Miami Ave, Miami, FL 33130, USA"
Magic Flute Montessori School,Magic Flute Montessori School,"1550 NE 147th St, Miami, FL 33161, США"
Nothing Bundt Cakes - Pinecrest,Nothing Bundt Cakes - Pinecrest,"9487 S Dixie Hwy, Miami, FL 33156, USA"
CVI.CHE 105,CVI.CHE 105 South Beach,
MPGR HOSPITALITY,CRAZY POKE - WYNWOOD,"312 NW 24th St, Miami, FL 33127, USA"
Air Margaritaville,Miami Air Margaritaville,"2100 NW 42nd Ave, Miami, FL 33142, USA"
(Miami) MCA-Airports,63 | MIA-T Peet's Coffee,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33142, USA"
KYU Miami,KYU Miami,"251 NW 25th St, Miami, FL 33127, USA"
Japan Inn,Doral,"1790 NW 107th Ave, Miami, FL 33172, USA"
OL'DAYS Florida,OL'DAYS Midtown,"3301 Northeast 1st Avenue, Miami, Florida, EE. UU."
Seafair,Seafair - Miami - Grand Luxe,"100 Chopin Plaza, Miami, FL 33131, USA"
SKINNY LOUIE,WYNWOOD,"322 NW 24th St, Miami, FL 33127, USA"
Oakberry - Miami BCC,Oakberry - Miami BCC,"701 S Miami Ave #334, Miami, FL 33131, USA"
TANUKI RIVER LANDING LLC,TANUKI RIVER LANDING LLC,"1420 NW N River Dr, Miami, FL 33125, USA"
Cafe Bernie,Cafe Bernie,"5600 Collins Ave, Miami, FL 33140, USA"
Ariete Hospitality Group,Chug's Diner,"3444 Main Hwy Suite 21, Miami, FL 33133, USA"
Pura Vida Miami - FL,PV09 - Brickell Millecento,"1104 South Miami Avenue, Miami, FL 33130, USA"
Smash Bros,Smashbros,"2925 Biscayne Blvd, Miami, FL 33137, EE. UU."
Meraki Greek Bistro,Meraki Greek Bistro (Downtown),"190 SE 1st Ave, Miami, FL 33131, USA"
Ossobuco Wynwood,Ossobuco Wynwood,"62 NW 27th St, Miami, FL 33127, USA"
Pura Vida Miami - FL,PV00 - Commissary,"Miami, FL, USA"
Socal cantina,Socal cantina,Miami
Taquiza Tacos,Taquiza Commissary LLC,"8246 NE 2nd Ave, Miami, FL 33138, USA"
Sushi Sake Corporate,Country Walk,"15461 Southwest 137th Avenue, Miami, FL, USA"
Oakberry - FTX,Oakberry - FTX,"601 Biscayne Blvd, Miami, FL 33132, USA"
Taco Way,Taco Way,"3145 Commodore Plaza, Miami, FL, United States"
Cerveceria La Tropical,Cerveceria La Tropical,"42 NE 25th St, Miami, FL 33137, USA"
Seafair,Warehouse,"7329 NW 32nd Ave, Miami, FL 33147, USA"
Ikigai Sushi Bar,Ikigai Sushi Bar,"615 Brickell Key Dr, Miami, FL 33131, USA"
Negroni Midtown,Negroni Midtown,"Buena Vista Blvd, Miami, FL, USA"
(Miami) MCA-Airports,11 MIA-D Peet's Coffee,"2100 NW 42nd Ave, Miami, FL 33142, USA"
(Miami) MCA-Airports,30  MIA-F Budweiser Brewhouse,
Pura Vida Miami - FL,PV03 - Design District,"3818 Northeast 1st Avenue, Miami, FL, USA"
Doggi's Arepa Bar - Coral Way,Coral Way,"1246 SW 22nd St, Miami, FL 33145, USA"
Red Bar,Red Bar,"52 SW 10th St, Miami, FL 33130, USA"
Toscana Divino Hospitality Group,Park Grove,"2831 S Bayshore Dr, Miami, FL 33133, USA"
Dos Croquetas®,Dos Croquetas - Bird Rd,"10505 Southwest 40th Street, Miami, FL, USA"
(Miami) MCA-Airports,Bacardi Mojito,"Miami, FL, USA"
South Region - Anthony's Coal Fired Pizza,1024 - Pinecrest,"10205 S Dixie Hwy ste 100, Miami, FL 33156, USA"
Rice Mediterranean Kitchen,Edgewater,"2500 Biscayne Blvd, Miami, FL, USA"
Rutina Coffee,Rutina Coffee,"2001 S Biscayne Blvd, Miami, FL 33137, USA"
el tiesto cafe miami,EL TIESTO CAFE MIAMI,"3023 Biscayne Blvd, Miami, FL 33137, USA"
,Cat's Garden West,"1001 NW 7th St, Miami, FL 33136, USA"
Naked Farmer Downtown Miami,Naked Farmer S. Biscayne Blvd,"200 S Biscayne Blvd, Miami, FL 33131, USA"
Hoy Como Ayer,Hoy Como Ayer,"2212 SW 8th St, Miami, FL 33135, USA"
Support Operations Miami Cancer Institute,MCI,"8900 N Kendall Dr, Miami, FL 33176, USA"
Vivo! Dolphin Mall - PBR,Dolphin Mall,"11401 NW 12th St, Miami, FL 33172, USA"
SEXY FISH,Sexy Fish,"1001 S Miami Ave, Miami, FL 33130, USA"
The Corner,The Corner,Miami
(Miami) MCA-Airports,56  MIA-F Craft Beer Cart,
(Miami) MCA-Airports,Sergio’s,"4200 Northwest 21st Street, Miami, FL, USA"
CVI.CHE 105,Pollos & Jarras Downtown,"115 Northeast 3rd Avenue, Miami, FL, USA"
Jrk!,JRK! Downtown,"95 Northwest 1st Street, Miami, FL, USA"
,Joey's Wynwood,"2506 NW 2nd Ave, Miami, FL 33127, USA"
Fire Pit Hospitality,Strange Beast,"15220 SW 72nd St, Miami, FL 33193, USA"
Purple Orchid,PO Baptist,"8950 N Kendall Dr, Miami, FL 33176, USA"
SHAHS OF KABOB,SOK @ WYNWOOD 195 NW 36th St.,"195 NW 36th St, Miami, FL 33127, USA"
Casa La Rubia,Casa La Rubia,"55 NW 25th St, Miami, FL 33127, USA"
AlmaRosa,AlmaRosa,"1250 S Miami Ave, Miami, FL 33130, USA"
Pubbelly's Sushi Dadeland,Pubelly's Sushi Dadeland,"Miami, FL, USA"
Golden Door,Maze Lounge,"300 S Biscayne Blvd, Miami, FL 33131, USA"
Seaspice,Seaspice,"422 Northwest North River Drive, Miami, FL, USA"
Mother Wolf - Miami,Mother Wolf - Miami,"3841 NE 2nd Ave, Miami, FL 33137, USA"
Artfood,Artfood,"Miami, FL, USA"
Chifa Du Kang,Chifa Du Kang North Miami,"1760 NE Miami Gardens Dr, Miami, FL 33179, USA"
Yamashiro Miami at The Gale,Yamashiro Miami at The Gale,"159 NE 6th St, Miami, FL 33132, USA"
(Miami) MCA-Airports,13 MIA-G Chilis MIA,"2100 Northwest 42nd Avenue, Miami, FL, USA"
,Cat's Garden East,"1001 NW 7th St, Miami, FL 33136, USA"
The Food Dudes,Food Dudes Miami,"7700 Northwest 7th Avenue, Miami, FL, USA"
(Miami) MCA-Airports,32 MIA-KFC D,
(Miami) MCA-Airports,Bud Brewhouse G,"4200 Northwest 21st Street, Miami, FL, USA"
Salao,Salao,"1642 SW 8th St, Miami, FL 33135, EE. UU."
DCG Brickell,DCG Brickell,"26 SW 8th St, Miami, FL 33130, USA"
Doggi's Arepa Bar Aventura,Doggis Wynwood Corp,"250 NW 24th St, Miami, FL 33127, EE. UU."
La Cabrera Sunny Isles,La Cabrera Coconut Grove,"2895 McFarlane Rd, Miami, FL 33133, USA"
Sushi Sake Corporate,North Miami Beach,
(Miami) MCA-Airports,Worldwide Market G,"4200 Northwest 21st Street, Miami, FL, USA"
(Miami) MCA-Airports,3 MIA G Farm Air G&G,
Marie Blachere Bakery & Cafe,Marie Blachere Hyde Miami,"3401 Northeast 1st Avenue, Miami, FL, USA"
Pubbelly Sushi Brickell,Pubbelly Sushi Brickell,"701 S Miami Ave Suite 421, Miami, FL 33131, USA"
(Miami) MCA-Airports,28  MIA-E Great American Bagel,
Unseen Creatures Brewing,Unseen Creatures Brewing,"Miami, FL, USA"
Pura Vida Miami - FL,PV34 - Coconut Grove,"3034 Grand Ave, Coconut Grove, FL 33133, USA"
The Knife International Mall,The Knife International Mall,"1455 NW 107th Ave, Miami, FL 33172, USA"
Nothing Bundt Cakes - Kendall,Nothing Bundt Cakes - Kendall,"12030 SW 88th St, Miami, FL 33186, USA"
WFHOM Miami LLC,WFHOM Miami LLC,"1951 NW 7th Ave, Miami, FL 33136, USA"
Ossobuco Wynwood,Ossobuco Coconut Grove,"2801 Florida Ave, Coconut Grove, FL 33133, USA"
Gastronomica Restaurant Group,Sala'o Cuban Bar & Pescaderia,"1642 SW 8th St, Miami, FL 33135, USA"
,HGVJGJ,"Miami, Florida, EE. UU."
(Miami) MCA-Airports,GuavaYava-CCG,"2100 NW 42nd Ave, Miami, FL 33142, USA"
Sixty Vines,Miami,"150 NE 8th St, Miami, FL 33132, USA"
Kiki Miami,Kiki Miami,"450 NW N River Dr, Miami, FL 33128, USA"
La Chefette,La Chefette,"970 NE 74th St, Miami, FL 33138, USA"
Puerto Madero,Puerto Madero,"12879 N Kendall Dr, Miami, FL 33186, USA"
Playmate’s Club,Playmate’s Club,"3875 Shipping Avenue, Miami, FL, United States"
Le Bistro by Ficelle,Ficelle Bakery,"1440 NW N River Dr, Miami, FL 33125, USA"
Salt & Straw - FL,Cocowalk,"3015 Grand Avenue, Coconut Grove, FL, USA"
SZYN THRIFT + VINTAGE,SZYN THRIFT + VINTAGE,"10494 SW 72nd St, Miami, FL 33173, USA"
Black Market,Benihana Brickell,"54 SW 10th St, Miami, FL 33130, USA"
El Taquito,El Taquito,"13911 SW 42nd St, Miami, FL 33175, USA"
Mister O1 Brickell - Brickell 305 LLC,MisterO1 Brickell - Brickell 305 LLC,"1000 South Miami Avenue, Miami, FL, USA"
South Region - Anthony's Coal Fired Pizza,1034 - Kendall,"12502 SW 88th St, Miami, FL 33186, USA"
Kaori Miami,Kaori,"871 South Miami Avenue, Miami, FL, USA"
SHAHS OF KABOB,SOK BRICKELL 48 SW 12th Street,"48 SW 12th St, Miami, FL 33130, USA"
Sports Grill,Sports Grill Sunset,"1559 Sunset Dr, Miami, FL 33143, USA"
Madrid Tapas y Vinos,Madrid Tapas y Vinos,"525 NW 42nd Ave, Miami, FL 33126, USA"
Greenstreet Cafe,Greenstreet Cafe,"3468 Main Hwy, Miami, FL 33133, USA"
Cru Lounge Wynwood,Cru Wynwood,"3535 NE 2nd Ave, Miami, FL 33137, USA"
La Picaña Grill and Brunch,La Picaña Grill and Brunch,"1600 NE 1st Ct, Miami, FL 33132, USA"
Julia wynwood,Julia wynwood,"545 NW 26th St, Miami, FL 33127, USA"
Mister O1 Wynwood - Wynwood 305 LLC,MisterO1 Wynwood - Wynwood 305 LLC,"2315 N Miami Ave, Miami, FL, USA"
Tipsy Flamingo Cocktail Bar,Tipsy Flamingo Cocktail Bar,"40 NE 1st Ave #101, Miami, FL 33132, USA"
Mia Bella Italian Kitchen,Mia Bella Italian Kitchen,"1220 N Main St, Miami, OK 74354, USA"
Amavi Miami,Amavi Miami,"3252 NE 1st Ave Suite 109, Miami, FL 33137, USA"
RINCONCITO LATINO INC,RINCONCITO LATINO INC,"6741 SW 24th St, Miami, FL 33155, USA"
Doggi's Arepa Bar Aventura,Doggi's Arepa Bar Aventura,"16565 Biscayne Blvd ste fh13, Miami, FL 33181, USA"
Cafe Bastille,Cafe Bastille,"Miami, FL, USA"
MC Kitchen,MC Kitchen,"4141 NE 2nd Ave, Miami, FL 33137, USA"
LA Cha Cha Cha,Cha Cha Cha Miami,"2637 N Miami Ave, Miami, FL 33127, USA"
Sushi Sake Corporate,Sheridan,
Taikin Asian Cuisine,Taikin Asian Cuisine,"7450 NW 104th Ave, Miami, FL 33178, USA"
bartaco,Coconut Grove,"3112 Commodore Plaza, Miami, FL 33133, USA"
MAMO Restaurant,Mamo Restaurant MIAMI,"931 Brickell Ave, Miami, FL 33131, USA"
PARI PARI,PARI PARI,"127 NW 27th St, Miami, FL 33127, États-Unis"
Mister O1 Coconut Grove - Coconut Grove 305 LLC,MisterO1 Coconut Grove - Coconut Grove 305 LLC,"3015 Grand Avenue, Coconut Grove, FL, USA"
The Citadel Bar,The Citadel Market,"8300 NE 2nd Ave, Miami, Florida, USA"
Uptown 66,UPTOWN 66,"6600 Biscayne Boulevard, Miami, FL, USA"
Sushi Sake Corporate,MiMo,"5700 Biscayne Blvd #101, Miami, FL 33137, USA"
Le Chick Miami,Le Chick Miami,"310 NW 24th St, Miami, FL 33127, USA"
(Miami) MCA-Airports,26  MIA-F World Wide Market,
Raw Juce,Brickell,"900 South Miami Avenue, Miami, FL, USA"
Vivo! Dolphin Mall - Sports & Social & Vivo!,Vivo!,"11401 NW 12th St, Miami, FL 33172, USA"
Rodeo Grill Bayside,Rodeo Grill Argentinian Steak House,"401 Biscayne Blvd, Miami, FL 33132, USA"
Pura Vida Miami - FL,PV13 - Downtown Doral,"8400 NW 53rd St, Miami, FL 33166, USA"
Zak The Baker,Zak The Baker,"295 NW 26th St, Miami, FL 33127, USA"
Sports Grill,Sports Grill South Miami,"1559 Sunset Dr, Miami, FL 33143, USA"
El sr de los tacos,Sr De Los Tacos Blue Lagoon,"5761 NW 7th St, Miami, FL 33126, USA"
Ryo Sushi,Ryo Sushi,"163 SE 1st St, Miami, FL 33131, USA"
,Studio 183 Lounge,"230 NW 183rd St, Miami, FL 33169, USA"
Piola Brickell,Piola Brickell,"1250 S Miami Ave, Miami, FL 33130, USA"
(Miami) MCA-Airports,GuavaYava-CCF,"2400 NW 42nd Ave, Miami, FL 33142, USA"
Robeks Kendall,Robeks Kendall,"12510 SW 120th St, Miami, FL 33186, USA"
La Canita,La Canita,"401 Biscayne Blvd, Miami, FL 33132, USA"
Vivo! Dolphin Mall - Sports & Social & Vivo!,Sports & Social,"11401 NW 12th St, Miami, FL 33172, USA"
SHAHS OF KABOB,SOK PALMETTO BAY 14487 S Dixie Hwy,"14487 S Dixie Hwy, Miami, FL 33176, USA"
Sushi Sake Corporate,Sweetwater,"740 SW 109th Ave, Miami, FL 33174, USA"
Sushi Sake Corporate,Pinecrest,"9079 South Dixie Highway, Miami, FL, USA"
Sports Grill,Sports Grill Kendall,"9090 SW 97th Ave, Miami, FL 33176, USA"
JOEY Aventura,JOEY Aventura,"19505 Biscayne Blvd, Miami, FL 33180, USA"
The Cure IV,MIA,"Miami, FL, USA"
Manta Peruvian Cuisine,Manta Wynwood,"102 NW 25th St, Miami, FL 33127, USA"
Island Tings,MIAMI GARDENS ISLAND TINGS,"Miami, FL, USA"
Party Cake Bakery,Party Cake Bakery,"15130 Southwest 72nd Street, Miami, FL, Estados Unidos"
(Miami) MCA-Airports,47 MIA D Pizza Hut,
Oakberry - Wynwood,Oakberry - Wynwood,"2619 NW 2nd Ave, Miami, FL 33127, USA"
Red Phone Booth - Miami,Red Phone Booth - Miami,"1010 Brickell, 1010 Brickell Ave, Miami, FL 33131, USA"
Gastronomica Restaurant Group,CIAO HAVANA,"1620 SW 8th St, Miami, FL 33135, USA"
Talkin Tacos,Talkin Tacos Brickell,"97 Southwest 8th Street, Miami, FL, USA"
Dante's HiFi,Dante's HiFi,"519 Northwest 26th Street, Miami, FL, USA"
Pura Vida Miami - FL,PV21 - Dadeland Mall,"7535 N Kendall Dr, Miami, FL 33156, USA"
Nothing Bundt Cakes - Doral,Nothing Bundt Cakes - Doral,"2100 NW 107th Ave Suite #105, Miami, FL 33172, USA"
Craft American Eatery,Craft American Eatery,"at CandleWood Suites Hotel, 5911 NW 36th St, Miami, FL 33166, USA"
Baja Restaurant Group,El Primo Red Tacos (Downtown Miami),"179 E Flagler St, Miami, FL 33131, USA"
El sr de los tacos,Mr Cachapa & El Senor De Los Tacos Wymwood,"2055 NW 2nd Ave, Miami, FL 33127, USA"
La Picaña Grill DORAL,La Picaña Grill DORAL,"3188 NW 72nd Ave, Miami, FL 33122, USA"
The Citadel Bar,The Citadel Bar,"8300 Northeast 2nd Avenue, Miami, FL, USA"
Jaffa design district,Jaffa design district,"140 NE 39th St, Miami, FL 33137, USA"
K Bistro,K Bistro,"3401 NW 25th St, Miami, FL 33142, USA"
Ocean2Fish,Ocean2Fish,"11780 SW 88th St, Miami, FL 33186, USA"
HotLime,HotLime- Mia Market,"140 Northeast 38th Street, Miami, FL, USA"
Negroni Midtown,Italica Midtown,"3201 Northwest 1st Avenue, Miami, FL 33127, USA"
Pineapple Play Lounge,Pineapple Play Lounge,"Miami, FL, USA"
Chifactory,Chifactory,"4800 SW 75th Ave, Miami, FL 33155, USA"
Usagi Tokyo Miami,ARIGATO BABY,"143 NW 23rd St, Miami, FL 33127, USA"
Navi Coffee & Flowers,Navi Coffee & Flowers,"3213 Grand Ave, Miami, FL 33133, USA"
Gastronomica Restaurant Group,CosaNostra (El Cuban Diner),"1620 SW 8th St, Miami, FL 33135, USA"
(Miami) MCA-Airports,19 MIA-G Maestro de la Pizza,"4200 Northwest 21st Street, Miami, FL, USA"
Pura Vida Miami - FL,PV08 - Las Olas Society,"Fort Lauderdale, Brickell Avenue, Miami, FL, USA"
Berman Family,Berman Family,"3551 St Gaudens Rd, Miami, FL 33133, USA"
Spanish Marie,Spanish Marie,"14251 SW 120th St ste 108, Miami, FL 33186, USA"
Ariete Hospitality Group,Brasserie Laurel,"698 NE 1st Ave G170, Miami, FL 33132, USA"
Baja Restaurant Group,Miami Sound Bar,"123 SE 2nd Ave, Miami, FL 33131, USA"
Black Market,Benihana Bayside,"401 Biscayne Blvd, Miami, FL 33132, USA"
Rockboy Pizza,Rockboy Pizza,"30 SW 8th St, Miami, FL 33130, USA"
SKINNY LOUIE,LITTLE HAVANA,"1551 SW 8th St, Miami, FL 33135, EE. UU."
CVI.CHE 105,CVI.CHE 105 Downtown,
,Cha Cha Chá Miami,"2637 N Miami Ave, Miami, FL 33127, USA"
Hutong Miami,Hutong,"600 Brickell Ave, Miami, FL 33131, USA"